"Step","avid-monkey-10 - rollout/success_rate","avid-monkey-10 - rollout/success_rate__MIN","avid-monkey-10 - rollout/success_rate__MAX","rose-cosmos-9 - rollout/success_rate","rose-cosmos-9 - rollout/success_rate__MIN","rose-cosmos-9 - rollout/success_rate__MAX","noble-bee-8 - rollout/success_rate","noble-bee-8 - rollout/success_rate__MIN","noble-bee-8 - rollout/success_rate__MAX","ruby-bee-6 - rollout/success_rate","ruby-bee-6 - rollout/success_rate__MIN","ruby-bee-6 - rollout/success_rate__MAX","eager-snow-5 - rollout/success_rate","eager-snow-5 - rollout/success_rate__MIN","eager-snow-5 - rollout/success_rate__MAX","comfy-terrain-4 - rollout/success_rate","comfy-terrain-4 - rollout/success_rate__MIN","comfy-terrain-4 - rollout/success_rate__MAX","jumping-dew-3 - rollout/success_rate","jumping-dew-3 - rollout/success_rate__MIN","jumping-dew-3 - rollout/success_rate__MAX","solar-fire-2 - rollout/success_rate","solar-fire-2 - rollout/success_rate__MIN","solar-fire-2 - rollout/success_rate__MAX"
"2","","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","","","","0.11111111","0.11111111","0.11111111","","","","","","","","","","","","","","",""
"15","","","","","","","","","","","","","","","","0","0","0","","","","0","0","0"
"19","","","","","","","","","","0","0","0","0","0","0","","","","0","0","0","","",""
"21","","","","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"25","0.1","0.1","0.1","0.14285715","0.14285715","0.14285715","","","","","","","","","","","","","","","","","",""
"28","","","","","","","0.125","0.125","0.125","","","","0.083333336","0.083333336","0.083333336","0.083333336","0.083333336","0.083333336","","","","0.083333336","0.083333336","0.083333336"
"35","","","","","","","","","","","","","","","","0.1875","0.1875","0.1875","","","","0.0625","0.0625","0.0625"
"36","","","","","","","","","","0.083333336","0.083333336","0.083333336","","","","","","","0","0","0","","",""
"42","0.060606062","0.060606062","0.060606062","","","","","","","","","","","","","","","","","","","","",""
"44","","","","0.2","0.2","0.2","","","","","","","","","","","","","","","","","",""
"45","","","","","","","","","","0.0625","0.0625","0.0625","0.125","0.125","0.125","","","","0","0","0","","",""
"48","","","","0.15384616","0.15384616","0.15384616","0.121212125","0.121212125","0.121212125","","","","","","","0.2","0.2","0.2","","","","0.1","0.1","0.1"
"59","0.11627907","0.11627907","0.11627907","","","","","","","","","","","","","","","","","","","","",""
"61","","","","","","","","","","","","","","","","0.16666667","0.16666667","0.16666667","","","","0.083333336","0.083333336","0.083333336"
"62","","","","","","","","","","0.05","0.05","0.05","0.2","0.2","0.2","","","","0.05","0.05","0.05","","",""
"67","","","","0.125","0.125","0.125","","","","","","","","","","","","","","","","","",""
"68","","","","","","","0.14285715","0.14285715","0.14285715","","","","","","","","","","","","","","",""
"71","","","","0.10526316","0.10526316","0.10526316","","","","","","","0.20833333","0.20833333","0.20833333","","","","","","","","",""
"74","","","","","","","","","","","","","","","","0.14285715","0.14285715","0.14285715","","","","0.10714286","0.10714286","0.10714286"
"76","0.12727273","0.12727273","0.12727273","","","","","","","","","","","","","","","","","","","","",""
"79","","","","","","","","","","0.041666668","0.041666668","0.041666668","","","","","","","0.083333336","0.083333336","0.083333336","","",""
"81","","","","","","","","","","","","","","","","0.15625","0.15625","0.15625","","","","","",""
"87","","","","","","","","","","","","","","","","","","","","","","0.09375","0.09375","0.09375"
"88","","","","","","","0.13559322","0.13559322","0.13559322","0.035714287","0.035714287","0.035714287","0.17857143","0.17857143","0.17857143","","","","","","","","",""
"90","","","","0.0952381","0.0952381","0.0952381","","","","","","","","","","","","","","","","","",""
"93","0.12857144","0.12857144","0.12857144","","","","","","","","","","","","","","","","","","","","",""
"94","","","","0.08695652","0.08695652","0.08695652","","","","","","","","","","0.1388889","0.1388889","0.1388889","","","","0.083333336","0.083333336","0.083333336"
"96","","","","","","","","","","","","","","","","","","","0.10714286","0.10714286","0.10714286","","",""
"105","","","","","","","","","","0.03125","0.03125","0.03125","0.15625","0.15625","0.15625","","","","0.09375","0.09375","0.09375","","",""
"107","","","","","","","","","","","","","","","","0.15","0.15","0.15","","","","0.075","0.075","0.075"
"108","","","","","","","0.10958904","0.10958904","0.10958904","","","","","","","","","","","","","","",""
"110","0.12195122","0.12195122","0.12195122","","","","","","","","","","","","","","","","","","","","",""
"113","","","","0.08","0.08","0.08","","","","","","","","","","","","","","","","","",""
"117","","","","0.071428575","0.071428575","0.071428575","","","","","","","","","","","","","","","","","",""
"120","","","","","","","","","","","","","","","","0.13636364","0.13636364","0.13636364","","","","0.06818182","0.06818182","0.06818182"
"122","","","","","","","","","","0.027777778","0.027777778","0.027777778","0.16666667","0.16666667","0.16666667","","","","0.083333336","0.083333336","0.083333336","","",""
"127","0.13131313","0.13131313","0.13131313","","","","","","","","","","","","","0.14583333","0.14583333","0.14583333","","","","0.083333336","0.083333336","0.083333336"
"128","","","","","","","0.13793103","0.13793103","0.13793103","","","","","","","","","","","","","","",""
"131","","","","","","","","","","","","","0.15","0.15","0.15","","","","0.075","0.075","0.075","","",""
"134","","","","","","","","","","","","","","","","0.15384616","0.15384616","0.15384616","","","","","",""
"136","","","","0.121212125","0.121212125","0.121212125","","","","","","","","","","","","","","","","","",""
"139","","","","","","","","","","0.025","0.025","0.025","","","","","","","","","","","",""
"140","","","","0.11111111","0.11111111","0.11111111","","","","","","","","","","","","","","","","0.09615385","0.09615385","0.09615385"
"144","0.14","0.14","0.14","","","","","","","","","","","","","","","","","","","","",""
"147","","","","","","","","","","","","","","","","0.14285715","0.14285715","0.14285715","","","","","",""
"148","","","","","","","0.17","0.17","0.17","","","","0.13636364","0.13636364","0.13636364","","","","0.11363637","0.11363637","0.11363637","","",""
"153","","","","","","","","","","","","","","","","","","","","","","0.08928572","0.08928572","0.08928572"
"156","","","","","","","","","","0.045454547","0.045454547","0.045454547","","","","","","","","","","","",""
"159","","","","0.102564104","0.102564104","0.102564104","","","","","","","","","","","","","","","","","",""
"160","","","","","","","","","","","","","","","","0.18333334","0.18333334","0.18333334","","","","0.1","0.1","0.1"
"161","0.16","0.16","0.16","","","","","","","","","","","","","","","","","","","","",""
"163","","","","0.0952381","0.0952381","0.0952381","","","","","","","","","","","","","","","","","",""
"165","","","","","","","","","","","","","0.14583333","0.14583333","0.14583333","","","","0.104166664","0.104166664","0.104166664","","",""
"167","","","","","","","","","","","","","","","","0.171875","0.171875","0.171875","","","","","",""
"168","","","","","","","0.18","0.18","0.18","","","","","","","","","","","","","","",""
"173","","","","","","","","","","0.041666668","0.041666668","0.041666668","","","","","","","","","","0.109375","0.109375","0.109375"
"174","","","","","","","","","","","","","0.15384616","0.15384616","0.15384616","","","","","","","","",""
"178","0.18","0.18","0.18","","","","","","","","","","","","","","","","","","","","",""
"180","","","","","","","","","","","","","","","","0.16176471","0.16176471","0.16176471","","","","","",""
"182","","","","0.10638298","0.10638298","0.10638298","","","","0.07692308","0.07692308","0.07692308","","","","","","","0.13461539","0.13461539","0.13461539","","",""
"186","","","","0.11764706","0.11764706","0.11764706","","","","","","","","","","","","","","","","0.11764706","0.11764706","0.11764706"
"188","","","","","","","0.23","0.23","0.23","","","","","","","","","","","","","","",""
"191","","","","","","","","","","","","","0.16071428","0.16071428","0.16071428","","","","0.125","0.125","0.125","","",""
"193","","","","","","","","","","","","","","","","0.15277778","0.15277778","0.15277778","","","","0.125","0.125","0.125"
"195","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","",""
"199","","","","","","","","","","0.071428575","0.071428575","0.071428575","","","","","","","","","","","",""
"200","","","","","","","","","","","","","0.18333334","0.18333334","0.18333334","0.15789473","0.15789473","0.15789473","","","","","",""
"205","","","","0.12962963","0.12962963","0.12962963","","","","","","","","","","","","","","","","","",""
"206","","","","","","","","","","","","","","","","","","","","","","0.118421055","0.118421055","0.118421055"
"208","","","","","","","0.23","0.23","0.23","0.1","0.1","0.1","","","","","","","0.13333334","0.13333334","0.13333334","","",""
"209","","","","0.14035088","0.14035088","0.14035088","","","","","","","","","","","","","","","","","",""
"212","0.22","0.22","0.22","","","","","","","","","","","","","","","","","","","","",""
"213","","","","","","","","","","","","","","","","0.1625","0.1625","0.1625","","","","","",""
"217","","","","","","","","","","","","","0.203125","0.203125","0.203125","","","","","","","","",""
"219","","","","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125"
"220","","","","","","","","","","","","","","","","0.16666667","0.16666667","0.16666667","","","","","",""
"225","","","","","","","","","","0.109375","0.109375","0.109375","","","","","","","0.125","0.125","0.125","","",""
"226","","","","","","","","","","","","","0.19117647","0.19117647","0.19117647","","","","","","","0.13095239","0.13095239","0.13095239"
"228","","","","0.14754099","0.14754099","0.14754099","0.23","0.23","0.23","","","","","","","","","","","","","","",""
"229","0.24","0.24","0.24","","","","","","","","","","","","","","","","","","","","",""
"232","","","","0.13846155","0.13846155","0.13846155","","","","","","","","","","","","","","","","","",""
"233","","","","","","","","","","","","","","","","0.17045455","0.17045455","0.17045455","","","","","",""
"234","","","","","","","","","","0.10294118","0.10294118","0.10294118","","","","","","","0.11764706","0.11764706","0.11764706","","",""
"239","","","","","","","","","","","","","","","","","","","","","","0.13636364","0.13636364","0.13636364"
"240","","","","","","","","","","","","","","","","0.19565217","0.19565217","0.19565217","","","","","",""
"243","","","","","","","","","","","","","0.18055555","0.18055555","0.18055555","","","","","","","","",""
"246","0.24","0.24","0.24","","","","","","","","","","","","","","","","","","","","",""
"247","","","","","","","","","","","","","","","","0.19791667","0.19791667","0.19791667","","","","","",""
"248","","","","","","","0.24","0.24","0.24","","","","","","","","","","","","","","",""
"251","","","","0.13043478","0.13043478","0.13043478","","","","0.097222224","0.097222224","0.097222224","","","","","","","0.125","0.125","0.125","","",""
"252","","","","","","","","","","","","","0.18421052","0.18421052","0.18421052","","","","","","","0.13043478","0.13043478","0.13043478"
"255","","","","0.12676056","0.12676056","0.12676056","","","","","","","","","","","","","","","","","",""
"260","","","","","","","","","","","","","","","","0.19","0.19","0.19","0.13157895","0.13157895","0.13157895","","",""
"263","0.26","0.26","0.26","","","","","","","","","","","","","","","","","","","","",""
"265","","","","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125"
"267","","","","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"268","","","","","","","0.24","0.24","0.24","0.10526316","0.10526316","0.10526316","","","","","","","","","","","",""
"269","","","","","","","","","","","","","0.2","0.2","0.2","","","","","","","","",""
"274","","","","0.118421055","0.118421055","0.118421055","","","","","","","","","","","","","","","","","",""
"277","","","","","","","","","","","","","","","","","","","0.1375","0.1375","0.1375","","",""
"278","","","","0.11111111","0.11111111","0.11111111","","","","","","","","","","","","","","","","0.12","0.12","0.12"
"280","0.27","0.27","0.27","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"285","","","","","","","","","","0.1125","0.1125","0.1125","","","","","","","","","","","",""
"286","","","","","","","","","","","","","0.20238096","0.20238096","0.20238096","","","","","","","","",""
"287","","","","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"288","","","","","","","0.19","0.19","0.19","","","","","","","","","","","","","","",""
"291","","","","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12"
"294","","","","","","","","","","","","","","","","","","","0.14285715","0.14285715","0.14285715","","",""
"295","","","","","","","","","","","","","0.19318181","0.19318181","0.19318181","","","","","","","","",""
"297","0.28","0.28","0.28","0.105882354","0.105882354","0.105882354","","","","","","","","","","","","","","","","","",""
"298","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"300","","","","","","","","","","","","","","","","0.19","0.19","0.19","","","","","",""
"301","","","","0.10344828","0.10344828","0.10344828","","","","","","","","","","","","","","","","","",""
"302","","","","","","","","","","0.10714286","0.10714286","0.10714286","","","","","","","","","","","",""
"303","","","","","","","","","","","","","","","","","","","0.13636364","0.13636364","0.13636364","","",""
"308","","","","","","","0.16","0.16","0.16","","","","","","","","","","","","","","",""
"311","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"312","","","","","","","","","","","","","0.18478261","0.18478261","0.18478261","","","","","","","","",""
"313","","","","","","","","","","","","","","","","0.19","0.19","0.19","","","","","",""
"314","0.26","0.26","0.26","","","","","","","","","","","","","","","","","","","","",""
"319","","","","","","","","","","0.10227273","0.10227273","0.10227273","","","","","","","","","","","",""
"320","","","","0.101123594","0.101123594","0.101123594","","","","","","","","","","0.2","0.2","0.2","0.13043478","0.13043478","0.13043478","","",""
"324","","","","0.09677419","0.09677419","0.09677419","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"328","","","","","","","0.14","0.14","0.14","0.10869565","0.10869565","0.10869565","","","","","","","","","","","",""
"329","","","","","","","","","","","","","0.17708333","0.17708333","0.17708333","","","","","","","","",""
"331","0.27","0.27","0.27","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"333","","","","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"337","","","","","","","","","","","","","","","","","","","0.125","0.125","0.125","","",""
"338","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"340","","","","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"343","","","","0.094736844","0.094736844","0.094736844","","","","","","","","","","","","","","","","","",""
"344","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"345","","","","","","","","","","0.104166664","0.104166664","0.104166664","","","","","","","","","","","",""
"346","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"347","","","","0.1010101","0.1010101","0.1010101","","","","","","","","","","","","","","","","","",""
"348","","","","","","","0.11","0.11","0.11","","","","","","","","","","","","","","",""
"351","0.3","0.3","0.3","","","","","","","","","","","","","","","","","","","","",""
"353","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","","",""
"355","","","","","","","","","","","","","0.19","0.19","0.19","","","","","","","","",""
"357","","","","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12"
"360","","","","","","","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"362","","","","","","","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"363","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"366","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","","",""
"368","0.28","0.28","0.28","","","","0.11","0.11","0.11","","","","","","","","","","","","","","",""
"370","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"371","","","","","","","","","","0.12","0.12","0.12","","","","","","","","","","","",""
"372","","","","","","","","","","","","","0.2","0.2","0.2","","","","0.14","0.14","0.14","","",""
"373","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","","",""
"380","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","","",""
"381","","","","","","","","","","","","","0.2","0.2","0.2","","","","","","","","",""
"383","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14"
"385","0.28","0.28","0.28","","","","","","","","","","","","","","","","","","","","",""
"388","","","","","","","0.12","0.12","0.12","0.12","0.12","0.12","","","","","","","","","","","",""
"389","","","","0.1","0.1","0.1","","","","","","","","","","","","","0.15","0.15","0.15","","",""
"390","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14"
"393","","","","0.1","0.1","0.1","","","","","","","","","","0.2","0.2","0.2","","","","","",""
"398","","","","","","","","","","","","","0.19","0.19","0.19","","","","","","","","",""
"400","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","","",""
"402","0.25","0.25","0.25","","","","","","","","","","","","","","","","","","","","",""
"403","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14"
"405","","","","","","","","","","0.12","0.12","0.12","","","","","","","","","","","",""
"406","","","","","","","","","","","","","","","","","","","0.15","0.15","0.15","","",""
"407","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"411","","","","","","","0.14","0.14","0.14","","","","","","","","","","","","","","",""
"412","","","","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"413","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","","",""
"415","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"416","","","","0.1","0.1","0.1","","","","","","","0.19","0.19","0.19","","","","","","","0.13","0.13","0.13"
"419","0.25","0.25","0.25","","","","","","","","","","","","","","","","","","","","",""
"420","","","","","","","","","","","","","","","","0.23","0.23","0.23","","","","","",""
"422","","","","","","","","","","0.12","0.12","0.12","","","","","","","","","","","",""
"423","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14"
"431","","","","","","","0.17","0.17","0.17","0.13","0.13","0.13","","","","","","","","","","","",""
"432","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"433","","","","","","","","","","","","","0.19","0.19","0.19","0.24","0.24","0.24","","","","","",""
"435","","","","0.1","0.1","0.1","","","","","","","","","","","","","","","","","",""
"436","0.23","0.23","0.23","","","","","","","","","","","","","","","","","","","0.16","0.16","0.16"
"439","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","","",""
"440","","","","","","","","","","","","","","","","0.24","0.24","0.24","","","","","",""
"442","","","","","","","","","","","","","0.19","0.19","0.19","","","","","","","","",""
"443","","","","","","","","","","","","","","","","","","","","","","0.15","0.15","0.15"
"447","","","","","","","","","","","","","","","","0.25","0.25","0.25","","","","","",""
"448","","","","","","","","","","0.13","0.13","0.13","","","","","","","","","","","",""
"449","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"451","","","","","","","0.19","0.19","0.19","","","","","","","","","","","","","","",""
"453","0.23","0.23","0.23","","","","","","","","","","","","","","","","","","","","",""
"456","","","","","","","","","","","","","","","","","","","","","","0.16","0.16","0.16"
"458","","","","0.12","0.12","0.12","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"459","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"460","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"462","","","","0.12","0.12","0.12","","","","","","","","","","","","","","","","","",""
"465","","","","","","","","","","0.14","0.14","0.14","","","","","","","","","","","",""
"467","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"468","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"469","","","","","","","","","","","","","","","","","","","","","","0.15","0.15","0.15"
"470","0.23","0.23","0.23","","","","","","","","","","","","","","","","","","","","",""
"471","","","","","","","0.18","0.18","0.18","","","","","","","","","","","","","","",""
"474","","","","","","","","","","0.15","0.15","0.15","","","","","","","","","","","",""
"475","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"476","","","","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14"
"480","","","","","","","","","","","","","","","","0.28","0.28","0.28","","","","","",""
"481","","","","0.12","0.12","0.12","","","","","","","","","","","","","","","","","",""
"485","","","","0.12","0.12","0.12","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"487","0.22","0.22","0.22","","","","","","","","","","","","","0.26","0.26","0.26","","","","","",""
"489","","","","","","","","","","","","","","","","","","","","","","0.15","0.15","0.15"
"491","","","","","","","0.19","0.19","0.19","0.15","0.15","0.15","","","","","","","","","","","",""
"492","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"500","","","","","","","","","","","","","","","","0.26","0.26","0.26","","","","","",""
"502","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","0.14","0.14","0.14"
"504","0.21","0.21","0.21","0.13","0.13","0.13","","","","","","","","","","","","","","","","","",""
"508","","","","0.12","0.12","0.12","","","","0.15","0.15","0.15","","","","","","","","","","","",""
"509","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","0.14","0.14","0.14"
"511","","","","","","","0.19","0.19","0.19","","","","0.18","0.18","0.18","","","","","","","","",""
"513","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"517","","","","","","","","","","0.14","0.14","0.14","","","","","","","","","","","",""
"520","","","","","","","","","","","","","0.2","0.2","0.2","0.27","0.27","0.27","","","","","",""
"521","0.22","0.22","0.22","","","","","","","","","","","","","","","","","","","","",""
"522","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"526","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"527","","","","0.12","0.12","0.12","","","","","","","","","","0.28","0.28","0.28","","","","","",""
"531","","","","0.12","0.12","0.12","0.17","0.17","0.17","","","","","","","","","","","","","","",""
"534","","","","","","","","","","0.14","0.14","0.14","","","","","","","","","","","",""
"535","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12","0.13","0.13","0.13"
"537","","","","","","","","","","","","","0.19","0.19","0.19","","","","","","","","",""
"538","0.21","0.21","0.21","","","","","","","","","","","","","","","","","","","","",""
"540","","","","","","","","","","","","","","","","0.28","0.28","0.28","","","","","",""
"546","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"547","","","","","","","","","","","","","","","","0.28","0.28","0.28","","","","","",""
"548","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"550","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","","",""
"551","","","","","","","0.16","0.16","0.16","0.12","0.12","0.12","","","","","","","","","","","",""
"552","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"554","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","","",""
"555","0.2","0.2","0.2","","","","","","","0.12","0.12","0.12","","","","","","","","","","0.13","0.13","0.13"
"560","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"561","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12","","",""
"563","","","","","","","","","","","","","0.19","0.19","0.19","","","","","","","","",""
"567","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"568","","","","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13"
"571","","","","","","","0.18","0.18","0.18","","","","","","","","","","","","","","",""
"572","0.2","0.2","0.2","","","","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"573","","","","0.11","0.11","0.11","","","","","","","","","","","","","","","","","",""
"577","","","","0.13","0.13","0.13","","","","","","","","","","","","","","","","","",""
"578","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"580","","","","","","","","","","","","","0.19","0.19","0.19","0.28","0.28","0.28","","","","","",""
"581","","","","","","","","","","0.1","0.1","0.1","","","","","","","","","","0.12","0.12","0.12"
"587","","","","","","","","","","","","","","","","0.27","0.27","0.27","0.15","0.15","0.15","","",""
"589","0.18","0.18","0.18","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"591","","","","","","","0.17","0.17","0.17","","","","","","","","","","","","","","",""
"594","","","","","","","","","","","","","","","","","","","","","","0.11","0.11","0.11"
"596","","","","0.13","0.13","0.13","","","","","","","","","","","","","","","","","",""
"598","","","","","","","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"600","","","","0.13","0.13","0.13","","","","","","","","","","0.26","0.26","0.26","","","","","",""
"601","","","","","","","","","","","","","","","","","","","","","","0.11","0.11","0.11"
"604","","","","","","","","","","","","","","","","","","","0.15","0.15","0.15","","",""
"606","0.21","0.21","0.21","","","","","","","","","","0.16","0.16","0.16","","","","","","","","",""
"611","","","","","","","0.16","0.16","0.16","","","","","","","","","","","","","","",""
"613","","","","","","","","","","","","","","","","0.28","0.28","0.28","","","","","",""
"614","","","","","","","","","","","","","","","","","","","","","","0.11","0.11","0.11"
"615","","","","","","","","","","0.11","0.11","0.11","0.16","0.16","0.16","","","","","","","","",""
"619","","","","0.14","0.14","0.14","","","","","","","","","","","","","","","","","",""
"620","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"621","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14","0.12","0.12","0.12"
"623","0.19","0.19","0.19","0.14","0.14","0.14","","","","","","","","","","","","","","","","","",""
"624","","","","","","","","","","0.11","0.11","0.11","","","","","","","","","","","",""
"630","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"631","","","","","","","0.14","0.14","0.14","","","","","","","","","","","","","","",""
"632","","","","","","","","","","","","","0.18","0.18","0.18","","","","","","","","",""
"633","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"634","","","","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12"
"640","0.17","0.17","0.17","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"641","","","","","","","","","","0.1","0.1","0.1","0.19","0.19","0.19","","","","","","","","",""
"642","","","","0.15","0.15","0.15","","","","","","","","","","","","","","","","","",""
"646","","","","0.16","0.16","0.16","","","","","","","","","","","","","","","","","",""
"647","","","","","","","","","","","","","","","","","","","0.12","0.12","0.12","0.11","0.11","0.11"
"650","","","","","","","","","","0.12","0.12","0.12","","","","","","","","","","","",""
"651","","","","","","","0.13","0.13","0.13","","","","","","","","","","","","","","",""
"653","","","","","","","","","","","","","","","","0.27","0.27","0.27","","","","","",""
"657","0.2","0.2","0.2","","","","","","","","","","","","","","","","","","","","",""
"658","","","","","","","","","","","","","0.2","0.2","0.2","","","","","","","","",""
"660","","","","","","","","","","","","","","","","0.24","0.24","0.24","","","","0.1","0.1","0.1"
"664","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"665","","","","0.16","0.16","0.16","","","","","","","","","","","","","","","","","",""
"667","","","","","","","","","","0.13","0.13","0.13","0.2","0.2","0.2","","","","","","","0.11","0.11","0.11"
"669","","","","0.17","0.17","0.17","","","","","","","","","","","","","","","","","",""
"671","","","","","","","0.12","0.12","0.12","","","","","","","","","","","","","","",""
"673","","","","","","","","","","","","","","","","0.23","0.23","0.23","0.13","0.13","0.13","","",""
"674","0.21","0.21","0.21","","","","","","","","","","","","","","","","","","","","",""
"680","","","","","","","","","","","","","","","","0.23","0.23","0.23","","","","0.12","0.12","0.12"
"684","","","","","","","","","","0.12","0.12","0.12","0.2","0.2","0.2","","","","","","","","",""
"688","","","","0.18","0.18","0.18","","","","","","","","","","","","","","","","","",""
"690","","","","","","","","","","","","","","","","","","","0.14","0.14","0.14","","",""
"691","0.22","0.22","0.22","","","","0.12","0.12","0.12","","","","","","","","","","","","","","",""
"692","","","","0.17","0.17","0.17","","","","","","","","","","","","","","","","","",""
"693","","","","","","","","","","0.13","0.13","0.13","0.19","0.19","0.19","0.23","0.23","0.23","","","","0.12","0.12","0.12"
"700","","","","","","","","","","","","","","","","0.21","0.21","0.21","","","","0.1","0.1","0.1"
"707","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
"710","","","","","","","","","","0.13","0.13","0.13","0.19","0.19","0.19","","","","","","","","",""
"711","0.25","0.25","0.25","0.17","0.17","0.17","0.15","0.15","0.15","","","","","","","","","","","","","","",""
"713","","","","","","","","","","","","","","","","0.18","0.18","0.18","","","","0.09","0.09","0.09"
"715","","","","0.16","0.16","0.16","","","","","","","","","","","","","","","","","",""
"716","","","","","","","","","","","","","","","","","","","0.13","0.13","0.13","","",""
