"Step","avid-monkey-10 - global_step","avid-monkey-10 - global_step__MIN","avid-monkey-10 - global_step__MAX","rose-cosmos-9 - global_step","rose-cosmos-9 - global_step__MIN","rose-cosmos-9 - global_step__MAX","noble-bee-8 - global_step","noble-bee-8 - global_step__MIN","noble-bee-8 - global_step__MAX","ruby-bee-6 - global_step","ruby-bee-6 - global_step__MIN","ruby-bee-6 - global_step__MAX","eager-snow-5 - global_step","eager-snow-5 - global_step__MIN","eager-snow-5 - global_step__MAX","comfy-terrain-4 - global_step","comfy-terrain-4 - global_step__MIN","comfy-terrain-4 - global_step__MAX","jumping-dew-3 - global_step","jumping-dew-3 - global_step__MIN","jumping-dew-3 - global_step__MAX","solar-fire-2 - global_step","solar-fire-2 - global_step__MIN","solar-fire-2 - global_step__MAX"
"0","1000","1000","1000","500","500","500","1000","1000","1000","","","","","","","844","844","844","800","800","800","619","619","619"
"1","1000","1000","1000","500","500","500","1000","1000","1000","","","","","","","","","","","","","619","619","619"
"2","1000","1000","1000","","","","1000","1000","1000","","","","","","","844","844","844","","","","619","619","619"
"3","2000","2000","2000","500","500","500","2000","2000","2000","","","","","","","","","","","","","","",""
"4","2000","2000","2000","","","","2000","2000","2000","","","","","","","844","844","844","","","","619","619","619"
"5","2000","2000","2000","","","","2000","2000","2000","","","","","","","","","","","","","619","619","619"
"6","2048","2048","2048","500","500","500","2048","2048","2048","859","859","859","566","566","566","844","844","844","800","800","800","619","619","619"
"7","2048","2048","2048","500","500","500","2048","2048","2048","","","","","","","1000","1000","1000","","","","1000","1000","1000"
"8","2048","2048","2048","","","","2048","2048","2048","","","","","","","","","","","","","","",""
"9","2048","2048","2048","","","","2048","2048","2048","","","","","","","","","","","","","","",""
"10","3000","3000","3000","","","","3000","3000","3000","","","","","","","1000","1000","1000","","","","1000","1000","1000"
"11","3000","3000","3000","1000","1000","1000","3000","3000","3000","","","","","","","","","","","","","","",""
"12","3000","3000","3000","","","","3000","3000","3000","","","","","","","","","","","","","1000","1000","1000"
"13","3000","3000","3000","1000","1000","1000","3000","3000","3000","","","","","","","","","","1000","1000","1000","1236","1236","1236"
"14","3000","3000","3000","1000","1000","1000","3000","3000","3000","1000","1000","1000","1000","1000","1000","","","","","","","1236","1236","1236"
"15","3000","3000","3000","","","","3000","3000","3000","","","","","","","","","","","","","","",""
"16","3000","3000","3000","","","","3000","3000","3000","","","","","","","1755","1755","1755","","","","1236","1236","1236"
"17","3000","3000","3000","1000","1000","1000","3000","3000","3000","","","","","","","","","","","","","1236","1236","1236"
"18","3000","3000","3000","1000","1000","1000","3000","3000","3000","1515","1515","1515","","","","","","","1519","1519","1519","","",""
"19","3000","3000","3000","","","","3000","3000","3000","","","","","","","","","","1519","1519","1519","1236","1236","1236"
"20","4000","4000","4000","1000","1000","1000","3000","3000","3000","","","","","","","2000","2000","2000","","","","2000","2000","2000"
"21","4000","4000","4000","","","","3000","3000","3000","1515","1515","1515","","","","2000","2000","2000","","","","2000","2000","2000"
"22","4000","4000","4000","","","","3000","3000","3000","","","","","","","2000","2000","2000","","","","","",""
"23","4096","4096","4096","1500","1500","1500","4000","4000","4000","1515","1515","1515","","","","","","","1519","1519","1519","2000","2000","2000"
"24","4096","4096","4096","","","","4000","4000","4000","","","","","","","2000","2000","2000","","","","2000","2000","2000"
"25","4096","4096","4096","","","","4000","4000","4000","","","","","","","2000","2000","2000","1519","1519","1519","2000","2000","2000"
"26","4096","4096","4096","1500","1500","1500","4096","4096","4096","","","","1750","1750","1750","2209","2209","2209","","","","2003","2003","2003"
"27","5000","5000","5000","","","","4096","4096","4096","2000","2000","2000","","","","2209","2209","2209","","","","2003","2003","2003"
"28","5000","5000","5000","1500","1500","1500","4096","4096","4096","","","","","","","2209","2209","2209","","","","","",""
"29","5000","5000","5000","","","","4096","4096","4096","2000","2000","2000","","","","2209","2209","2209","","","","","",""
"30","5000","5000","5000","","","","5000","5000","5000","","","","","","","2209","2209","2209","","","","2003","2003","2003"
